cell_id,container_id,r2_orig,r2_m0_refit,r2_m1_075,r2_m1_100,r2_m1_150,best_sigma,best_delta,passes_screen
517472135,511510736,0.4475464733886873,0.41773335480424,0.40230778709206616,0.28676912877106375,0.28676912877106375,0.75,-0.015425567712173849,False
673032487,661437138,0.4474879298635696,0.44748792986276287,0.4299137837719498,0.4299137837719498,0.4299137837719498,0.75,-0.017574146090813092,False
701720365,688678764,0.4427697243675302,0.4427697243675788,0.3671755894861598,0.27415983256496845,0.27415983256496845,0.75,-0.07559413488141897,False
517425156,511510718,0.4398541180932847,0.4398541180933421,0.3965456664450262,0.19060116611919764,0.19060116611919764,0.75,-0.04330845164831587,False
674568886,666589599,0.4386777276042986,0.4212231589993487,0.36414882480951105,0.35788175538012046,0.35788175538012046,0.75,-0.05707433418983765,False
696523183,680156909,0.4381830196262735,0.4336734785851962,0.35774858401285015,0.2939518328461769,0.2939518328461769,0.75,-0.07592489457234608,False
674569976,666589599,0.4371727751633604,0.43717277401824595,0.4129939831713363,0.3413564165632843,0.3413564165632843,0.75,-0.02417879084690966,False
673449020,661732156,0.4339041980063418,0.43390419800659275,0.36551467692500306,0.3359136380979659,0.3359136380979659,0.75,-0.06838952108158969,False
696526866,680156909,0.4320639226794825,0.4320639226793388,0.4084802640078816,0.2583667675477578,0.2583667675477578,0.75,-0.023583658671457175,False
696521210,680156909,0.4318508059010161,0.43185082099330796,0.387387321319154,0.3861910395359337,0.3861910395359337,0.75,-0.04446349967415397,False
517408108,511507650,0.4315985174733823,0.43159851747372235,0.4252255440328716,0.2137985518075607,0.2137985518075607,0.75,-0.006372973440850749,False
662288038,652842570,0.4296474068737913,0.42964740687180447,0.3577688552641429,0.23594687936014758,0.23594687936014758,0.75,-0.07187855160766154,False
517406415,511507650,0.4287943014144605,0.4045879092794262,0.3805547403471774,0.3805547403471774,0.3805547403471774,0.75,-0.024033168932248827,False
673033628,661437138,0.4269098899947571,0.4269098899973862,0.39864651988303546,0.2731361327087213,0.2731361327087213,0.75,-0.02826337011435076,False
673451389,661732156,0.4263137684590762,0.42631376845891467,0.3689388459003974,0.09084064547619841,0.09084064547619841,0.75,-0.05737492255851728,False
673032254,661437138,0.4252121047989676,0.425212104600721,0.36531071899050294,0.29118652190350136,0.29118652190350136,0.75,-0.05990138561021807,False
662300751,653125128,0.4220696154283619,0.42206961542837373,0.3971218302457997,0.2510929765426706,0.2510929765426706,0.75,-0.02494778518257401,False
701720592,688678764,0.4219754221347775,0.4219754221347314,0.3437093313552322,0.34370929093142377,0.34370929093142377,0.75,-0.0782660907794992,False
673448754,661732156,0.4211215696205262,0.39611234601686984,0.38474450294895113,0.2156867914199493,0.2156867914199493,0.75,-0.011367843067918715,False
517409973,511509529,0.4189680057349126,0.4189680057349009,0.4019669341551517,0.2577137938059031,0.2577137938059031,0.75,-0.017001071579749172,False
673448260,661732156,0.4178550630702917,0.4178550630701773,0.3562905463603242,0.3515626218049095,0.3515626218049095,0.75,-0.06156451670985308,False
673449583,661732156,0.4176547982530946,0.4176547982529656,0.3423535041186384,0.1890207019226965,0.1890207019226965,0.75,-0.07530129413432718,False
517407706,511507650,0.4174215246531787,0.4174215246532287,0.34100731098794934,0.2748088387147054,0.2748088387147054,0.75,-0.07641421366527934,False
673032125,661437138,0.417419759024024,0.4174197590240242,0.3999421909770302,0.19947901231061294,0.19947901231061294,0.75,-0.017477568046993963,False
674569983,666589599,0.416803739491921,0.40380839883396613,0.3664624036878037,0.29791025852322073,0.29791025852322073,0.75,-0.037345995146162436,False
517431302,511510670,0.4165827564418376,0.3919500828843103,0.3858625584085975,0.2793153467682592,0.2793153467682592,0.75,-0.006087524475712813,False
701720562,688678764,0.4159070251046027,0.41590702510465505,0.3417390849842338,0.20802126811873534,0.20802126811873534,0.75,-0.07416794012042127,False
673451359,661732156,0.4149868851040719,0.4149868851037526,0.3600511227679912,0.2684850587374916,0.2684850587374916,0.75,-0.05493576233576136,False
662283100,650389885,0.4141462659124257,0.4141462659105484,0.36401203530817516,0.273171099644822,0.273171099644822,0.75,-0.05013423060237321,False
517408456,511507650,0.4139672853131643,0.413967285313232,0.36328565258356593,0.14567636176757215,0.14567636176757215,0.75,-0.05068163272966608,False
517409472,511509529,0.4113716126805384,0.4113716126805109,0.40491671795919004,0.37534039542497033,0.37534039542497033,0.75,-0.006454894721320881,False
673450990,661732156,0.4109555178321494,0.39264646135223114,0.3521980200274486,0.3521980200274486,0.3521980200274486,0.75,-0.040448441324782536,False
673033747,661437138,0.4105752690043582,0.41057526900207897,0.3958947907046467,0.22894179454635022,0.22894179454635022,0.75,-0.014680478297432242,False
662297847,653125128,0.4102592464455683,0.3950774898411915,0.3253117286379723,0.1559614265909498,0.1559614265909498,0.75,-0.0697657612032192,False
662297913,653125128,0.4100862355263165,0.37528591240901976,0.3847052424631242,0.02506273379708235,0.02506273379708235,0.75,0.009419330054104447,False
517429981,511510670,0.408215712902805,0.40821571290290215,0.3910474513436205,0.24451625164606205,0.24451625164606205,0.75,-0.01716826155928164,False
517410064,511509529,0.4075769734211614,0.40757697342116417,0.36405331871726154,0.2786001478940785,0.2786001478940785,0.75,-0.043523654703902626,False
517408120,511507650,0.4051601214174344,0.40516012141744484,0.4011540159520166,0.24841050534050013,0.24841050534050013,0.75,-0.0040061054654282335,False
696518931,682734790,0.4048689147994303,0.3720885673438711,0.3171634818213058,0.20018002469605045,0.20018002469605045,0.75,-0.05492508552256525,False
517430372,511510670,0.4045558454411504,0.3923684642541083,0.394753845486726,0.34638857812629775,0.34638857812629775,0.75,0.002385381232617667,False
696519601,680156909,0.4038371937871899,0.403837193786747,0.3848423547832668,0.32971346436986027,0.32971346436986027,0.75,-0.0189948390034802,False
673033240,661437138,0.402874766987332,0.40287476698754243,0.4020948566389275,0.2419544931039629,0.2419544931039629,0.75,-0.0007799103486149095,False
674568914,666589599,0.4010442294396583,0.36880981381045685,0.35233187811358535,0.34606514367186914,0.34606514367186914,0.75,-0.016477935696871504,False
696519136,682734790,0.4004019956106672,0.38803707175857005,0.3900512147806837,0.17401039641211458,0.17401039641211458,0.75,0.002014143022113668,False
696523766,682734790,0.3999189088255899,0.3935558372078126,0.31978610608174673,0.31010152797686774,0.31010152797686774,0.75,-0.07376973112606589,False
662281531,650389885,0.3992953946983163,0.3992953946978116,0.3569261861560856,0.3569261861560856,0.3569261861560856,0.75,-0.04236920854172599,False
662278429,650389885,0.3988987344226719,0.39379430762862144,0.3713171121562122,0.2968355317515796,0.2968355317515796,0.75,-0.022477195472409228,False
517407864,511507650,0.3984963845916196,0.3984963861628572,0.3476767349427966,0.34767453869986575,0.34767453869986575,0.75,-0.0508196512200606,False
729432957,701412138,0.3983306713648258,0.39833066532873784,0.3625507829935021,0.36254973894331,0.36254973894331,0.75,-0.03577988233523577,False
587377064,511510736,0.3977003896502509,0.3729697273440189,0.3435914592925857,0.31718289791610954,0.31718289791610954,0.75,-0.029378268051433176,False
517410194,511509529,0.3976674364173468,0.39766743638435875,0.34775808544024656,0.2674223781388916,0.2674223781388916,0.75,-0.049909350944112196,False
589167189,511510718,0.3962001522101981,0.3676981341023323,0.37297246832212494,0.3471653819356454,0.3471653819356454,0.75,0.00527433421979262,False
674570187,666589599,0.3934799006019803,0.3934799006019065,0.33620830756230846,0.22787388661210384,0.22787388661210384,0.75,-0.05727159303959806,False
517407720,511507650,0.3917200236445477,0.3792963557599738,0.36886363367769404,0.241687917226586,0.241687917226586,0.75,-0.010432722082279744,False
